"frame Index","Time Stamp","Head To World","XR Origin Pos","XR Origin Rot","Is Left Hand Tracked","Is right hand tracked",L_Wrist_pos,L_Wrist_rot,L_Palm_pos,L_Palm_rot,L_ThumbMetacarpal_pos,L_ThumbMetacarpal_rot,L_ThumbProximal_pos,L_ThumbProximal_rot,L_ThumbDistal_pos,L_ThumbDistal_rot,L_ThumbTip_pos,L_ThumbTip_rot,L_IndexMetacarpal_pos,L_IndexMetacarpal_rot,L_IndexProximal_pos,L_IndexProximal_rot,L_IndexIntermediate_pos,L_IndexIntermediate_rot,L_IndexDistal_pos,L_IndexDistal_rot,L_IndexTip_pos,L_IndexTip_rot,L_MiddleMetacarpal_pos,L_MiddleMetacarpal_rot,L_MiddleProximal_pos,L_MiddleProximal_rot,L_MiddleIntermediate_pos,L_MiddleIntermediate_rot,L_MiddleDistal_pos,L_MiddleDistal_rot,L_MiddleTip_pos,L_MiddleTip_rot,L_RingMetacarpal_pos,L_RingMetacarpal_rot,L_RingProximal_pos,L_RingProximal_rot,L_RingIntermediate_pos,L_RingIntermediate_rot,L_RingDistal_pos,L_RingDistal_rot,L_RingTip_pos,L_RingTip_rot,L_LittleMetacarpal_pos,L_LittleMetacarpal_rot,L_LittleProximal_pos,L_LittleProximal_rot,L_LittleIntermediate_pos,L_LittleIntermediate_rot,L_LittleDistal_pos,L_LittleDistal_rot,L_LittleTip_pos,L_LittleTip_rot,R_Wrist_pos,R_Wrist_rot,R_Palm_pos,R_Palm_rot,R_ThumbMetacarpal_pos,R_ThumbMetacarpal_rot,R_ThumbProximal_pos,R_ThumbProximal_rot,R_ThumbDistal_pos,R_ThumbDistal_rot,R_ThumbTip_pos,R_ThumbTip_rot,R_IndexMetacarpal_pos,R_IndexMetacarpal_rot,R_IndexProximal_pos,R_IndexProximal_rot,R_IndexIntermediate_pos,R_IndexIntermediate_rot,R_IndexDistal_pos,R_IndexDistal_rot,R_IndexTip_pos,R_IndexTip_rot,R_MiddleMetacarpal_pos,R_MiddleMetacarpal_rot,R_MiddleProximal_pos,R_MiddleProximal_rot,R_MiddleIntermediate_pos,R_MiddleIntermediate_rot,R_MiddleDistal_pos,R_MiddleDistal_rot,R_MiddleTip_pos,R_MiddleTip_rot,R_RingMetacarpal_pos,R_RingMetacarpal_rot,R_RingProximal_pos,R_RingProximal_rot,R_RingIntermediate_pos,R_RingIntermediate_rot,R_RingDistal_pos,R_RingDistal_rot,R_RingTip_pos,R_RingTip_rot,R_LittleMetacarpal_pos,R_LittleMetacarpal_rot,R_LittleProximal_pos,R_LittleProximal_rot,R_LittleIntermediate_pos,R_LittleIntermediate_rot,R_LittleDistal_pos,R_LittleDistal_rot,R_LittleTip_pos,R_LittleTip_rot
1,0,"1.00000	0.00000	0.00000	0.00000
0.00000	1.00000	0.00000	1.68400
0.00000	0.00000	1.00000	0.00000
0.00000	0.00000	0.00000	1.00000
","0.00, 0.00, 0.00","0.00, 0.00, 0.00",False,False
2,0.02,"1.00000	0.00000	0.00000	0.00000
0.00000	1.00000	0.00000	1.68400
0.00000	0.00000	1.00000	0.00000
0.00000	0.00000	0.00000	1.00000
","0.00, 0.00, 0.00","0.00, 0.00, 0.00",False,False
3,0.3533334,"1.00000	0.00000	0.00000	0.00000
0.00000	1.00000	0.00000	0.00000
0.00000	0.00000	1.00000	0.00000
0.00000	0.00000	0.00000	1.00000
","0.00, 0.00, 0.00","0.00, 0.00, 0.00",True,True,"-0.18, 0.59, 0.08","20.33, 357.69, 33.35","-0.18, 0.57, 0.13","20.33, 357.69, 33.35","-0.14, 0.58, 0.12","12.86, 42.64, 327.24","-0.12, 0.57, 0.15","16.69, 31.72, 334.03","-0.10, 0.56, 0.18","29.22, 31.21, 324.63","-0.08, 0.55, 0.20","29.22, 31.21, 324.63","-0.15, 0.58, 0.12","20.33, 357.69, 33.35","-0.16, 0.56, 0.19","26.88, 6.16, 33.02","-0.15, 0.54, 0.23","41.46, 19.46, 43.62","-0.14, 0.52, 0.24","46.95, 21.43, 46.91","-0.14, 0.50, 0.26","46.95, 21.43, 46.91","-0.17, 0.57, 0.12","20.33, 357.69, 33.35","-0.18, 0.55, 0.18","27.21, 356.08, 33.69","-0.18, 0.53, 0.23","43.96, 12.30, 44.70","-0.18, 0.51, 0.25","46.47, 16.62, 53.15","-0.17, 0.49, 0.27","46.47, 16.62, 53.15","-0.19, 0.56, 0.11","20.33, 357.69, 33.35","-0.19, 0.54, 0.17","28.21, 350.87, 36.47","-0.20, 0.52, 0.21","45.71, 13.89, 55.08","-0.20, 0.50, 0.23","49.00, 34.75, 71.70","-0.19, 0.48, 0.24","49.00, 34.75, 71.70","-0.20, 0.56, 0.11","32.89, 346.07, 52.24","-0.21, 0.53, 0.15","34.62, 344.80, 40.94","-0.21, 0.51, 0.18","53.59, 11.14, 66.48","-0.21, 0.49, 0.19","51.18, 31.63, 82.66","-0.20, 0.47, 0.21","51.18, 31.63, 82.66","0.30, 0.72, 0.32","339.88, 9.60, 345.91","0.31, 0.74, 0.37","339.88, 9.60, 345.91","0.27, 0.73, 0.37","354.56, 325.40, 73.19","0.25, 0.73, 0.40","356.01, 345.63, 61.91","0.24, 0.73, 0.43","9.71, 4.83, 71.79","0.24, 0.73, 0.46","9.71, 4.83, 71.79","0.28, 0.73, 0.36","339.88, 9.60, 345.91","0.29, 0.76, 0.43","357.70, 4.78, 350.95","0.29, 0.76, 0.47","30.66, 357.89, 346.05","0.29, 0.74, 0.49","45.50, 356.29, 343.09","0.29, 0.73, 0.51","45.50, 356.29, 343.09","0.30, 0.73, 0.36","339.88, 9.60, 345.91","0.31, 0.76, 0.42","359.98, 8.51, 344.63","0.32, 0.76, 0.47","40.46, 354.20, 337.76","0.32, 0.74, 0.49","52.62, 343.35, 323.42","0.31, 0.71, 0.51","52.62, 343.35, 323.42","0.32, 0.72, 0.36","339.88, 9.60, 345.91","0.33, 0.74, 0.41","2.11, 10.15, 338.66","0.34, 0.74, 0.46","39.33, 348.37, 325.49","0.34, 0.72, 0.48","52.75, 322.67, 305.14","0.33, 0.70, 0.50","52.75, 322.67, 305.14","0.33, 0.72, 0.36","349.36, 23.34, 318.09","0.35, 0.73, 0.40","7.86, 11.39, 328.02","0.36, 0.72, 0.44","36.72, 350.61, 312.25","0.35, 0.71, 0.46","41.35, 330.12, 299.39","0.34, 0.69, 0.47","41.35, 330.12, 299.39"
4,0.5859603,"1.00000	0.00000	0.00000	0.00000
0.00000	1.00000	0.00000	0.00000
0.00000	0.00000	1.00000	0.00000
0.00000	0.00000	0.00000	1.00000
","0.00, 0.00, 0.00","0.00, 0.00, 0.00",True,True,"-0.18, 0.59, 0.07","23.46, 1.72, 23.03","-0.18, 0.57, 0.12","23.46, 1.72, 23.03","-0.14, 0.57, 0.11","22.84, 49.76, 322.64","-0.11, 0.55, 0.13","26.11, 37.46, 327.11","-0.09, 0.54, 0.16","38.74, 34.66, 316.41","-0.08, 0.52, 0.18","38.74, 34.66, 316.41","-0.15, 0.57, 0.11","23.46, 1.72, 23.03","-0.15, 0.55, 0.17","30.29, 7.81, 22.15","-0.14, 0.53, 0.21","46.48, 17.67, 31.39","-0.14, 0.51, 0.23","52.21, 17.99, 33.55","-0.13, 0.49, 0.25","52.21, 17.99, 33.55","-0.17, 0.57, 0.11","23.46, 1.72, 23.03","-0.17, 0.54, 0.17","31.45, 359.13, 22.89","-0.17, 0.52, 0.21","50.35, 11.84, 32.77","-0.17, 0.49, 0.23","53.59, 16.06, 41.51","-0.17, 0.47, 0.25","53.59, 16.06, 41.51","-0.19, 0.56, 0.11","23.46, 1.72, 23.03","-0.19, 0.53, 0.16","32.34, 354.27, 25.66","-0.20, 0.51, 0.20","53.62, 15.42, 44.92","-0.19, 0.49, 0.22","59.21, 41.68, 68.19","-0.18, 0.46, 0.23","59.21, 41.68, 68.19","-0.20, 0.55, 0.10","33.78, 347.34, 40.23","-0.21, 0.53, 0.14","37.49, 346.75, 29.45","-0.21, 0.50, 0.17","59.89, 8.27, 52.78","-0.21, 0.48, 0.18","60.02, 34.71, 75.65","-0.21, 0.46, 0.19","60.02, 34.71, 75.65","0.30, 0.72, 0.32","340.35, 9.68, 344.03","0.30, 0.74, 0.37","340.35, 9.68, 344.03","0.27, 0.73, 0.37","352.01, 324.55, 71.09","0.25, 0.73, 0.40","354.29, 344.70, 59.06","0.24, 0.74, 0.43","9.00, 3.14, 68.51","0.24, 0.73, 0.46","9.00, 3.14, 68.51","0.28, 0.73, 0.36","340.35, 9.68, 344.03","0.29, 0.76, 0.43","357.92, 4.24, 349.16","0.29, 0.76, 0.47","30.00, 356.44, 344.06","0.29, 0.75, 0.49","44.72, 354.17, 340.72","0.29, 0.73, 0.51","44.72, 354.17, 340.72","0.30, 0.73, 0.36","340.35, 9.68, 344.03","0.31, 0.76, 0.42","0.94, 7.61, 342.91","0.32, 0.76, 0.47","40.13, 352.14, 335.55","0.32, 0.74, 0.49","51.79, 340.91, 321.04","0.31, 0.71, 0.51","51.79, 340.91, 321.04","0.32, 0.73, 0.36","340.35, 9.68, 344.03","0.33, 0.74, 0.42","2.57, 9.39, 336.92","0.34, 0.74, 0.46","37.88, 347.39, 323.94","0.33, 0.72, 0.48","50.62, 322.75, 304.96","0.32, 0.70, 0.50","50.62, 322.75, 304.96","0.33, 0.72, 0.36","350.23, 23.07, 316.46","0.35, 0.73, 0.41","7.81, 11.35, 326.28","0.35, 0.72, 0.44","35.35, 350.64, 310.91","0.35, 0.71, 0.46","39.43, 331.09, 299.09","0.34, 0.70, 0.48","39.43, 331.09, 299.09"
5,0.6110615,"1.00000	0.00000	0.00000	0.00000
0.00000	1.00000	0.00000	0.00000
0.00000	0.00000	1.00000	0.00000
0.00000	0.00000	0.00000	1.00000
","0.00, 0.00, 0.00","0.00, 0.00, 0.00",True,True,"-0.18, 0.59, 0.07","23.75, 1.84, 22.09","-0.18, 0.57, 0.12","23.75, 1.84, 22.09","-0.14, 0.57, 0.11","23.75, 49.97, 322.13","-0.12, 0.55, 0.13","27.03, 37.45, 326.33","-0.10, 0.53, 0.15","39.62, 34.40, 315.45","-0.08, 0.52, 0.17","39.62, 34.40, 315.45","-0.16, 0.57, 0.11","23.75, 1.84, 22.09","-0.15, 0.55, 0.17","31.38, 8.05, 21.28","-0.14, 0.52, 0.21","47.68, 17.76, 30.59","-0.14, 0.50, 0.23","53.42, 17.96, 32.66","-0.14, 0.48, 0.24","53.42, 17.96, 32.66","-0.17, 0.57, 0.11","23.75, 1.84, 22.09","-0.17, 0.54, 0.17","31.92, 359.26, 21.94","-0.18, 0.52, 0.21","50.98, 11.62, 31.69","-0.17, 0.49, 0.23","54.51, 16.16, 40.74","-0.17, 0.47, 0.25","54.51, 16.16, 40.74","-0.19, 0.56, 0.10","23.75, 1.84, 22.09","-0.19, 0.53, 0.16","32.44, 354.35, 24.67","-0.20, 0.51, 0.20","54.30, 15.47, 44.05","-0.19, 0.49, 0.21","60.16, 42.72, 68.37","-0.18, 0.46, 0.23","60.16, 42.72, 68.37","-0.20, 0.55, 0.10","33.84, 347.23, 39.14","-0.21, 0.53, 0.14","37.45, 346.77, 28.43","-0.22, 0.50, 0.17","60.37, 8.17, 51.77","-0.21, 0.48, 0.18","60.68, 35.09, 75.18","-0.21, 0.46, 0.19","60.68, 35.09, 75.18","0.30, 0.72, 0.32","339.10, 8.75, 343.75","0.30, 0.74, 0.37","339.10, 8.75, 343.75","0.26, 0.73, 0.37","350.93, 323.65, 71.86","0.24, 0.74, 0.40","353.10, 344.02, 59.40","0.23, 0.74, 0.43","7.75, 2.43, 68.45","0.23, 0.74, 0.46","7.75, 2.43, 68.45","0.28, 0.73, 0.36","339.10, 8.75, 343.75","0.28, 0.76, 0.43","357.02, 3.12, 349.04","0.29, 0.76, 0.47","29.25, 355.26, 344.04","0.28, 0.75, 0.49","43.97, 353.01, 340.73","0.28, 0.73, 0.51","43.97, 353.01, 340.73","0.30, 0.73, 0.36","339.10, 8.75, 343.75","0.31, 0.76, 0.42","359.58, 6.64, 342.68","0.31, 0.76, 0.47","38.56, 351.41, 335.81","0.31, 0.74, 0.50","49.95, 341.02, 322.18","0.31, 0.72, 0.51","49.95, 341.02, 322.18","0.32, 0.73, 0.36","339.10, 8.75, 343.75","0.33, 0.75, 0.42","1.13, 8.48, 336.65","0.33, 0.75, 0.46","36.20, 346.92, 324.43","0.33, 0.73, 0.48","49.04, 323.66, 306.93","0.32, 0.71, 0.50","49.04, 323.66, 306.93","0.32, 0.72, 0.36","349.07, 22.14, 315.90","0.34, 0.73, 0.41","6.19, 10.36, 326.05","0.35, 0.73, 0.44","33.57, 350.18, 311.50","0.35, 0.71, 0.46","37.64, 331.70, 300.81","0.34, 0.70, 0.48","37.64, 331.70, 300.81"
6,0.6328623,"1.00000	0.00000	0.00000	0.00000
0.00000	1.00000	0.00000	0.00000
0.00000	0.00000	1.00000	0.00000
0.00000	0.00000	0.00000	1.00000
","0.00, 0.00, 0.00","0.00, 0.00, 0.00",True,True,"-0.18, 0.59, 0.07","23.97, 1.74, 21.78","-0.18, 0.57, 0.12","23.97, 1.74, 21.78","-0.14, 0.57, 0.10","24.17, 49.74, 321.93","-0.12, 0.55, 0.13","27.58, 37.03, 325.95","-0.10, 0.53, 0.15","40.17, 33.82, 314.96","-0.08, 0.52, 0.17","40.17, 33.82, 314.96","-0.16, 0.57, 0.11","23.97, 1.74, 21.78","-0.15, 0.55, 0.17","32.99, 8.44, 21.23","-0.15, 0.52, 0.21","49.30, 18.46, 30.96","-0.14, 0.50, 0.22","55.10, 18.81, 33.15","-0.14, 0.48, 0.24","55.10, 18.81, 33.15","-0.17, 0.57, 0.10","23.97, 1.74, 21.78","-0.18, 0.54, 0.17","32.49, 359.45, 21.78","-0.18, 0.52, 0.21","51.50, 11.82, 31.61","-0.17, 0.49, 0.23","55.49, 17.11, 41.37","-0.17, 0.47, 0.25","55.49, 17.11, 41.37","-0.19, 0.56, 0.10","23.97, 1.74, 21.78","-0.20, 0.53, 0.16","32.38, 354.39, 24.42","-0.20, 0.51, 0.20","54.71, 16.00, 44.22","-0.19, 0.49, 0.21","60.65, 44.52, 69.78","-0.19, 0.46, 0.22","60.65, 44.52, 69.78","-0.20, 0.56, 0.10","33.98, 347.03, 38.75","-0.21, 0.53, 0.14","37.23, 346.92, 28.23","-0.22, 0.51, 0.17","60.70, 9.27, 52.41","-0.22, 0.48, 0.18","60.83, 36.37, 76.04","-0.21, 0.46, 0.19","60.83, 36.37, 76.04","0.30, 0.72, 0.32","336.74, 7.21, 343.42","0.30, 0.74, 0.37","336.74, 7.21, 343.42","0.26, 0.73, 0.37","349.19, 322.23, 73.49","0.24, 0.74, 0.40","351.05, 343.01, 60.29","0.23, 0.74, 0.43","5.47, 1.41, 68.64","0.23, 0.74, 0.46","5.47, 1.41, 68.64","0.28, 0.74, 0.37","336.74, 7.21, 343.42","0.28, 0.77, 0.43","355.26, 1.25, 349.04","0.28, 0.77, 0.47","27.81, 353.42, 344.27","0.28, 0.76, 0.49","42.50, 351.32, 341.09","0.28, 0.74, 0.51","42.50, 351.32, 341.09","0.29, 0.73, 0.36","336.74, 7.21, 343.42","0.30, 0.76, 0.42","356.97, 5.13, 342.43","0.31, 0.77, 0.47","35.63, 350.42, 336.47","0.31, 0.75, 0.50","46.53, 341.48, 324.30","0.30, 0.73, 0.52","46.53, 341.48, 324.30","0.31, 0.73, 0.36","336.74, 7.21, 343.42","0.32, 0.75, 0.42","358.42, 7.07, 336.33","0.33, 0.75, 0.46","33.14, 346.32, 325.47","0.32, 0.74, 0.49","46.13, 325.33, 310.41","0.31, 0.72, 0.50","46.13, 325.33, 310.41","0.32, 0.72, 0.36","346.85, 20.66, 315.04","0.34, 0.73, 0.41","3.15, 8.77, 325.83","0.35, 0.73, 0.44","30.33, 349.52, 312.70","0.34, 0.72, 0.46","34.34, 332.83, 303.85","0.33, 0.71, 0.48","34.34, 332.83, 303.85"
7,0.6434022,"1.00000	0.00000	0.00000	0.00000
0.00000	1.00000	0.00000	0.00000
0.00000	0.00000	1.00000	0.00000
0.00000	0.00000	0.00000	1.00000
","0.00, 0.00, 0.00","0.00, 0.00, 0.00",True,True,"-0.18, 0.59, 0.07","24.16, 1.89, 20.98","-0.18, 0.57, 0.12","24.16, 1.89, 20.98","-0.14, 0.57, 0.10","24.90, 50.02, 321.51","-0.12, 0.55, 0.12","28.29, 37.14, 325.30","-0.10, 0.53, 0.15","40.84, 33.72, 314.16","-0.09, 0.51, 0.17","40.84, 33.72, 314.16","-0.16, 0.57, 0.11","24.16, 1.89, 20.98","-0.15, 0.55, 0.17","33.49, 8.48, 20.40","-0.15, 0.52, 0.21","49.90, 18.24, 30.03","-0.14, 0.50, 0.22","55.67, 18.39, 32.06","-0.14, 0.48, 0.24","55.67, 18.39, 32.06","-0.18, 0.57, 0.10","24.16, 1.89, 20.98","-0.18, 0.54, 0.17","32.75, 359.49, 20.92","-0.18, 0.52, 0.21","51.94, 11.53, 30.59","-0.17, 0.49, 0.23","56.06, 16.86, 40.41","-0.17, 0.47, 0.24","56.06, 16.86, 40.41","-0.20, 0.56, 0.10","24.16, 1.89, 20.98","-0.20, 0.53, 0.16","32.53, 354.47, 23.57","-0.20, 0.51, 0.19","55.27, 15.92, 43.37","-0.19, 0.49, 0.21","61.42, 45.12, 69.69","-0.19, 0.46, 0.22","61.42, 45.12, 69.69","-0.20, 0.55, 0.10","33.98, 347.00, 37.83","-0.21, 0.53, 0.14","37.29, 346.92, 27.33","-0.22, 0.50, 0.17","61.08, 8.81, 51.24","-0.22, 0.48, 0.18","61.43, 36.35, 75.37","-0.21, 0.46, 0.19","61.43, 36.35, 75.37","0.29, 0.72, 0.32","336.44, 6.90, 343.31","0.30, 0.74, 0.37","336.44, 6.90, 343.31","0.26, 0.73, 0.37","348.81, 321.89, 73.63","0.24, 0.74, 0.40","350.68, 342.75, 60.27","0.23, 0.75, 0.43","5.12, 1.15, 68.50","0.23, 0.74, 0.46","5.12, 1.15, 68.50","0.27, 0.74, 0.37","336.44, 6.90, 343.31","0.28, 0.77, 0.43","355.10, 0.88, 348.97","0.28, 0.77, 0.47","27.70, 353.00, 344.21","0.28, 0.76, 0.49","42.41, 350.87, 341.02","0.27, 0.74, 0.51","42.41, 350.87, 341.02","0.29, 0.73, 0.36","336.44, 6.90, 343.31","0.30, 0.77, 0.42","356.64, 4.78, 342.34","0.31, 0.77, 0.47","35.22, 350.10, 336.48","0.30, 0.75, 0.50","46.01, 341.34, 324.51","0.30, 0.73, 0.52","46.01, 341.34, 324.51","0.31, 0.73, 0.36","336.44, 6.90, 343.31","0.32, 0.75, 0.42","358.05, 6.75, 336.22","0.33, 0.75, 0.46","32.66, 346.11, 325.55","0.32, 0.74, 0.49","45.62, 325.45, 310.85","0.31, 0.72, 0.50","45.62, 325.45, 310.85","0.32, 0.72, 0.36","346.58, 20.34, 314.86","0.34, 0.73, 0.41","2.72, 8.46, 325.74","0.34, 0.73, 0.44","29.80, 349.34, 312.81","0.34, 0.72, 0.46","33.76, 332.95, 304.26","0.33, 0.71, 0.48","33.76, 332.95, 304.26"
8,0.6645201,"1.00000	0.00000	0.00000	0.00000
0.00000	1.00000	0.00000	0.00000
0.00000	0.00000	1.00000	0.00000
0.00000	0.00000	0.00000	1.00000
","0.00, 0.00, 0.00","0.00, 0.00, 0.00",True,True,"-0.18, 0.59, 0.07","24.28, 1.96, 20.57","-0.18, 0.56, 0.12","24.28, 1.96, 20.57","-0.15, 0.56, 0.10","25.37, 50.23, 321.31","-0.12, 0.55, 0.12","28.76, 37.24, 324.96","-0.10, 0.53, 0.15","41.28, 33.70, 313.73","-0.09, 0.51, 0.17","41.28, 33.70, 313.73","-0.16, 0.57, 0.11","24.28, 1.96, 20.57","-0.15, 0.54, 0.17","33.63, 8.52, 19.99","-0.15, 0.52, 0.20","50.10, 18.14, 29.54","-0.14, 0.50, 0.22","55.86, 18.19, 31.49","-0.14, 0.48, 0.24","55.86, 18.19, 31.49","-0.18, 0.57, 0.10","24.28, 1.96, 20.57","-0.18, 0.54, 0.17","32.40, 359.37, 20.41","-0.18, 0.52, 0.21","52.07, 11.40, 30.06","-0.17, 0.49, 0.23","56.30, 16.82, 39.97","-0.17, 0.47, 0.24","56.30, 16.82, 39.97","-0.20, 0.56, 0.10","24.28, 1.96, 20.57","-0.20, 0.53, 0.16","31.96, 354.27, 23.01","-0.20, 0.51, 0.19","55.04, 15.29, 42.40","-0.20, 0.49, 0.21","61.64, 45.06, 69.25","-0.19, 0.46, 0.22","61.64, 45.06, 69.25","-0.20, 0.55, 0.10","33.99, 346.97, 37.36","-0.21, 0.53, 0.14","36.22, 346.27, 26.43","-0.22, 0.51, 0.17","60.43, 7.00, 49.24","-0.22, 0.49, 0.18","61.38, 34.78, 73.50","-0.21, 0.46, 0.19","61.38, 34.78, 73.50","0.30, 0.73, 0.32","335.26, 7.05, 343.29","0.30, 0.75, 0.37","335.26, 7.05, 343.29","0.26, 0.73, 0.37","348.07, 321.97, 74.52","0.24, 0.74, 0.39","349.79, 343.13, 60.81","0.23, 0.75, 0.43","4.08, 1.54, 68.73","0.23, 0.75, 0.46","4.08, 1.54, 68.73","0.28, 0.74, 0.36","335.26, 7.05, 343.29","0.28, 0.77, 0.42","357.11, 0.38, 349.24","0.28, 0.77, 0.47","29.51, 352.59, 344.23","0.28, 0.76, 0.49","43.96, 350.53, 341.04","0.28, 0.74, 0.51","43.96, 350.53, 341.04","0.29, 0.73, 0.36","335.26, 7.05, 343.29","0.31, 0.77, 0.42","356.25, 4.56, 342.44","0.31, 0.77, 0.47","34.43, 350.24, 336.85","0.31, 0.75, 0.50","45.31, 341.67, 325.08","0.30, 0.73, 0.52","45.31, 341.67, 325.08","0.32, 0.73, 0.36","335.26, 7.05, 343.29","0.32, 0.76, 0.42","356.83, 6.81, 336.24","0.33, 0.76, 0.46","31.62, 346.37, 326.04","0.32, 0.74, 0.49","44.91, 326.02, 311.77","0.31, 0.72, 0.50","44.91, 326.02, 311.77","0.32, 0.73, 0.36","345.44, 20.56, 314.57","0.34, 0.74, 0.41","1.59, 8.37, 325.74","0.35, 0.74, 0.44","29.00, 349.14, 313.06","0.34, 0.73, 0.46","33.24, 332.59, 304.59","0.33, 0.71, 0.48","33.24, 332.59, 304.59"
9,0.684015,"1.00000	0.00000	0.00000	0.00000
0.00000	1.00000	0.00000	0.00000
0.00000	0.00000	1.00000	0.00000
0.00000	0.00000	0.00000	1.00000
","0.00, 0.00, 0.00","0.00, 0.00, 0.00",True,True,"-0.19, 0.59, 0.07","24.38, 2.01, 20.22","-0.18, 0.56, 0.12","24.38, 2.01, 20.22","-0.15, 0.56, 0.10","25.75, 50.39, 321.15","-0.12, 0.55, 0.12","29.14, 37.31, 324.68","-0.10, 0.53, 0.15","41.65, 33.67, 313.37","-0.09, 0.51, 0.17","41.65, 33.67, 313.37","-0.16, 0.57, 0.11","24.38, 2.01, 20.22","-0.15, 0.54, 0.17","33.78, 8.56, 19.65","-0.15, 0.52, 0.20","50.29, 18.06, 29.13","-0.14, 0.50, 0.22","56.04, 18.03, 31.02","-0.14, 0.48, 0.23","56.04, 18.03, 31.02","-0.18, 0.56, 0.10","24.38, 2.01, 20.22","-0.18, 0.54, 0.17","32.16, 359.29, 19.98","-0.18, 0.52, 0.21","52.18, 11.29, 29.61","-0.18, 0.49, 0.23","56.51, 16.77, 39.59","-0.17, 0.47, 0.24","56.51, 16.77, 39.59","-0.20, 0.56, 0.10","24.38, 2.01, 20.22","-0.20, 0.53, 0.16","31.54, 354.13, 22.55","-0.20, 0.51, 0.19","54.88, 14.81, 41.64","-0.20, 0.49, 0.21","61.85, 45.02, 68.89","-0.19, 0.46, 0.22","61.85, 45.02, 68.89","-0.21, 0.55, 0.10","34.01, 346.95, 36.96","-0.22, 0.53, 0.14","35.40, 345.80, 25.73","-0.22, 0.51, 0.17","59.93, 5.68, 47.74","-0.22, 0.49, 0.18","61.36, 33.59, 72.06","-0.22, 0.46, 0.19","61.36, 33.59, 72.06","0.30, 0.73, 0.32","334.26, 7.16, 343.28","0.30, 0.75, 0.37","334.26, 7.16, 343.28","0.26, 0.74, 0.37","347.44, 322.01, 75.27","0.24, 0.74, 0.39","349.03, 343.41, 61.25","0.23, 0.75, 0.43","3.18, 1.83, 68.90","0.23, 0.75, 0.46","3.18, 1.83, 68.90","0.28, 0.74, 0.36","334.26, 7.16, 343.28","0.28, 0.77, 0.42","358.45, 0.02, 349.44","0.28, 0.77, 0.47","30.69, 352.31, 344.28","0.28, 0.76, 0.49","44.95, 350.32, 341.10","0.28, 0.74, 0.51","44.95, 350.32, 341.10","0.30, 0.74, 0.36","334.26, 7.16, 343.28","0.31, 0.77, 0.42","355.84, 4.39, 342.52","0.31, 0.77, 0.47","33.72, 350.37, 337.16","0.31, 0.76, 0.49","44.66, 341.97, 325.57","0.30, 0.74, 0.51","44.66, 341.97, 325.57","0.32, 0.73, 0.36","334.26, 7.16, 343.28","0.33, 0.76, 0.42","355.81, 6.85, 336.26","0.33, 0.76, 0.46","30.73, 346.59, 326.44","0.33, 0.75, 0.48","44.28, 326.53, 312.56","0.32, 0.73, 0.50","44.28, 326.53, 312.56","0.32, 0.73, 0.36","344.47, 20.73, 314.32","0.34, 0.74, 0.41","0.63, 8.30, 325.74","0.35, 0.74, 0.44","28.28, 349.02, 313.30","0.34, 0.73, 0.46","32.74, 332.39, 304.94","0.33, 0.72, 0.48","32.74, 332.39, 304.94"
